dosage_forms,generic_formulation,actual_ending,count
Oral Tablet,lamotrigine 100 MG, MG,54
Oral Tablet,clonidine hydrochloride 0.2 MG, MG,54
Oral Tablet,quetiapine 25 MG, MG,54
Gas for Inhalation,oxygen 99.2 %,,54
Oral Capsule,doxepin 10 MG, MG,53
Oral Capsule,pregabalin 225 MG, MG,53
Oral Tablet,quetiapine 200 MG, MG,53
"CAPSULE, EXTENDED RELEASE",24 HR diltiazem hydrochloride 180 MG Extended Release Oral Capsule, MG Extended Release Oral Capsule,53
Oral Capsule,ergocalciferol 1.25 MG, MG,53
Oral Tablet,ethinyl estradiol 0.035 MG / norgestimate 0.25 MG, MG,53
Oral Tablet,hydrochlorothiazide 12.5 MG / lisinopril 10 MG, MG,53
Oral Tablet,glimepiride 4 MG, MG,53
Oral Tablet,simvastatin 10 MG, MG,53
Extended Release Oral Capsule,24 HR diltiazem hydrochloride 180 MG, MG,53
Oral Tablet,levetiracetam 1000 MG, MG,52
Extended Release Oral Capsule,24 HR diltiazem hydrochloride 240 MG, MG,52
GASTRO-RESISTANT TABLET,divalproex sodium 500 MG Delayed Release Oral Tablet, MG Delayed Release Oral Tablet,52
Oral Tablet,penicillin V potassium 500 MG, MG,52
Oral Tablet,venlafaxine 75 MG, MG,52
"TABLET, DELAYED RELEASE (OBS 06-25-01)",divalproex sodium 500 MG Delayed Release Oral Tablet, MG Delayed Release Oral Tablet,52
Oral Tablet,levothyroxine sodium 0.137 MG, MG,52
Delayed Release Oral Tablet,divalproex sodium 500 MG, MG,52
"CAPSULE, EXTENDED RELEASE",24 HR diltiazem hydrochloride 240 MG Extended Release Oral Capsule, MG Extended Release Oral Capsule,52
Oral Tablet,hydralazine hydrochloride 50 MG, MG,51
Oral Tablet,fenofibrate 145 MG, MG,51
Oral Tablet,diclofenac potassium 50 MG, MG,51
Oral Tablet,olanzapine 5 MG, MG,51
Oral Tablet,etodolac 400 MG, MG,51
Oral Tablet,cyclobenzaprine hydrochloride 7.5 MG, MG,51
Oral Tablet,naproxen 250 MG, MG,51
"TABLET, EXTENDED RELEASE",24 HR divalproex sodium 500 MG Extended Release Oral Tablet, MG Extended Release Oral Tablet,50
Oral Capsule,doxycycline monohydrate 100 MG, MG,50
Oral Suspension,amoxicillin 80 MG/ML,ML,50
Oral Tablet,aripiprazole 10 MG, MG,50
Oral Tablet,fluconazole 200 MG, MG,50
Extended Release Oral Tablet,24 HR divalproex sodium 500 MG, MG,50
Oral Tablet,valsartan 80 MG, MG,50
Oral Tablet,memantine hydrochloride 10 MG, MG,50
"SUSPENSION, ORAL (FINAL DOSE FORM)",amoxicillin 80 MG/ML Oral Suspension,ML Oral Suspension,50
Oral Tablet,donepezil hydrochloride 10 MG, MG,50
Oral Tablet,carbamazepine 200 MG, MG,50
Oral Tablet,sildenafil 50 MG, MG,50
Oral Tablet,emtricitabine 200 MG / tenofovir disoproxil fumarate 300 MG, MG,50
Oral Tablet,eszopiclone 3 MG, MG,50
Oral Tablet,alprazolam 1 MG, MG,50
